date_extraction,activite,activite_emprunteur,activite_emprunteur_bus,activite_emprunteur_med,activite_salle_etude,activite_utilisateur_postes_informatiques,activite_utilisateur_wifi,tranches_d_age_1,tranches_d_age_2,roubaisien_ou_non,code_iris_de_roubaix,nom_de_l_iris_a_roubaix,commune_de_residence,inscription_attribut_action,inscription_attribut_zebre,inscription_carte,nombre_d_annees_d_adhesion,type_inscription,nb_venues,nb_venues_postes_informatiques,nb_venues_prets,nb_venues_prets_bus,nb_venues_prets_mediatheque,nb_venues_salle_etude,nb_venues_wifi,sexe,geo_point_2d
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Non Roubaisien,,,GRUSON,,,Médiathèque,15.0,gratuite,9,0,9,0,9,0,0,Femme,
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,15 - 24 ans,Roubaisien,595120102,FRESNOY,ROUBAIX,,,Médiathèque,9.0,gratuite,5,0,5,0,5,0,0,Homme,"50.6992192099,3.16111509099"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595121102,TROIS PONTS SUD,ROUBAIX,,,Médiathèque,8.0,gratuite,1,0,1,0,1,0,0,Femme,"50.6838448476,3.20182368985"
2020,prêt + postes + wifi,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120504,TRICHON,ROUBAIX,,,Médiathèque Plus (Personnel médiathèque),9.0,payante,14,11,3,0,3,0,1,Femme,"50.6899026291,3.16585093674"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Non Roubaisien,,,HEM,,,Médiathèque,8.0,gratuite,2,0,2,0,2,0,0,Homme,
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Non Roubaisien,,,CROIX,,,Médiathèque,7.0,gratuite,13,0,13,0,13,0,0,Homme,
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,15 - 24 ans,Roubaisien,595120803,POTENNERIE,ROUBAIX,,,Médiathèque,9.0,gratuite,0,0,0,0,0,0,0,Homme,"50.6797344577,3.18141212365"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,15 - 24 ans,Roubaisien,,,ROUBAIX,,,Médiathèque Plus (Personnel médiathèque),9.0,payante,14,0,14,0,14,0,0,Femme,
2020,wifi,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Utilisateur Wifi,15 ans et plus,15 - 24 ans,Roubaisien,595120202,ALMA SUD,ROUBAIX,,,Médiathèque,2.0,gratuite,1,0,0,0,0,0,1,Homme,"50.7002213045,3.1681608643"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Non Roubaisien,,,CROIX,,,Médiathèque,15.0,gratuite,4,0,4,0,4,0,0,Femme,
